"","uniquetreeID","plot","tree_num","dbh_cm","ht_m","lat","long","age"
"1","FS_12.6","FS_12",6,24.5,6.4,39.2802948,-119.9963335,125
"2","FS_12.7","FS_12",7,17.7,5.2,39.2802948,-119.9963335,143
"3","FS_12.20","FS_12",20,26.2,8.5,39.2802948,-119.9963335,121
"4","FS_12.24","FS_12",24,37.2,10.1,39.2802948,-119.9963335,123
"5","FS_15.1","FS_15",1,18.3,7.5,38.82413455,-119.8929894,136
"6","FS_15.2","FS_15",2,31,12.4,38.82413455,-119.8929894,134
"7","FS_15.3","FS_15",3,30.3,6.9,38.82413455,-119.8929894,288
"8","FS_15.5","FS_15",5,31.6,13.7,38.82413455,-119.8929894,401
"9","FS_15.6","FS_15",6,34.2,14.2,38.82413455,-119.8929894,270
"10","FS_15.7","FS_15",7,18.8,7.4,38.82413455,-119.8929894,154
"11","FS_15.8","FS_15",8,52.7,11.3,38.82413455,-119.8929894,377
"12","FS_15.10","FS_15",10,40.7,10.2,38.82413455,-119.8929894,399
"13","FS_15.11","FS_15",11,18.8,5.7,38.82413455,-119.8929894,195
"14","FS_15.12","FS_15",12,49.5,11.5,38.82413455,-119.8929894,223
"15","FS_15.13","FS_15",13,24.3,10.2,38.82413455,-119.8929894,154
"16","FS_15.15","FS_15",15,49.8,16.9,38.82413455,-119.8929894,216
"17","FS_15.18","FS_15",18,21.9,7.5,38.82413455,-119.8929894,182
"18","FS_15.19","FS_15",19,20.1,8.4,38.82413455,-119.8929894,136
"19","FS_15.21","FS_15",21,29,12.7,38.82413455,-119.8929894,140
"20","FS_15.22","FS_15",22,14.6,5.4,38.82413455,-119.8929894,160
"21","FS_15.23","FS_15",23,39,10.7,38.82413455,-119.8929894,193
"22","FS_15.24","FS_15",24,26.9,9.8,38.82413455,-119.8929894,179
"23","FS_15.25","FS_15",25,24.7,6.5,38.82413455,-119.8929894,182
"24","FS_15.26","FS_15",26,21.7,8.7,38.82413455,-119.8929894,150
"25","FS_15.30","FS_15",30,60,17.7,38.82413455,-119.8929894,393
"26","FS_D1.6","FS_D1",6,47,15.5,38.80515852,-119.9567343,207
"27","FS_D1.7","FS_D1",7,78.9,20.3,38.80515852,-119.9567343,250
"28","FS_D1.8","FS_D1",8,35.6,12.6,38.80515852,-119.9567343,141
"29","FS_D1.9","FS_D1",9,41.1,10.8,38.80515852,-119.9567343,136
"30","FS_D1.16","FS_D1",16,39.1,12.2,38.80515852,-119.9567343,190
"31","FS_D1.20","FS_D1",20,32.3,10.8,38.80515852,-119.9567343,211
"32","FS_D1.22","FS_D1",22,36.3,10.4,38.80515852,-119.9567343,128
"33","FS_D1.23","FS_D1",23,26.1,9.7,38.80515852,-119.9567343,124
"34","FS_D1.25","FS_D1",25,58.5,14.3,38.80515852,-119.9567343,133
"35","FS_D1.26","FS_D1",26,48.6,11.8,38.80515852,-119.9567343,166
"36","FS_D1.27","FS_D1",27,65.1,13,38.80515852,-119.9567343,215
"37","FS_D1.29","FS_D1",29,46.7,14.8,38.80515852,-119.9567343,187
"38","FS_D1.30","FS_D1",30,31.7,10.7,38.80515852,-119.9567343,177
"39","FS_D2.3","FS_D2",3,17.8,4.3,38.84661737,-119.907458,155
"40","FS_D2.4","FS_D2",4,23.7,5,38.84661737,-119.907458,338
"41","FS_D2.5","FS_D2",5,26.5,7.7,38.84661737,-119.907458,317
"42","FS_D2.7","FS_D2",7,35.7,6.2,38.84661737,-119.907458,328
"43","FS_D2.8","FS_D2",8,22.1,7,38.84661737,-119.907458,183
"44","FS_D2.9","FS_D2",9,18.7,4.6,38.84661737,-119.907458,326
"45","FS_D2.11","FS_D2",11,26.4,5.8,38.84661737,-119.907458,141
