year,synch,asynch,ns,interval,obs
1904,1,0,0,short,5
1905,0.818181818181818,0,0.181818181818182,short,11
1906,0.8125,0.0625,0.125,short,16
1907,0.578947368421053,0,0.421052631578947,short,19
1908,0.368421052631579,0,0.631578947368421,short,19
1909,0.421052631578947,0,0.578947368421053,short,19
1910,0.578947368421053,0,0.421052631578947,short,19
1911,0.631578947368421,0,0.368421052631579,short,19
1912,0.684210526315789,0,0.315789473684211,short,19
1913,0.684210526315789,0,0.315789473684211,short,19
1914,0.736842105263158,0.0526315789473684,0.210526315789474,short,19
1915,0.789473684210526,0,0.210526315789474,short,19
1916,0.842105263157895,0,0.157894736842105,short,19
1917,0.842105263157895,0,0.157894736842105,short,19
1918,0.789473684210526,0,0.210526315789474,short,19
1919,0.421052631578947,0.0526315789473684,0.526315789473684,short,19
1920,0.315789473684211,0,0.684210526315789,short,19
1921,0.315789473684211,0,0.684210526315789,short,19
1922,0.421052631578947,0,0.578947368421053,short,19
1923,0.578947368421053,0,0.421052631578947,short,19
1924,0.684210526315789,0,0.315789473684211,short,19
1925,0.684210526315789,0,0.315789473684211,short,19
1926,0.368421052631579,0,0.631578947368421,short,19
1927,0.263157894736842,0,0.736842105263158,short,19
1928,0.157894736842105,0,0.842105263157895,short,19
1929,0,0,1,short,19
1930,0.105263157894737,0,0.894736842105263,short,19
1931,0.263157894736842,0,0.736842105263158,short,19
1932,0.210526315789474,0,0.789473684210526,short,19
1933,0.210526315789474,0,0.789473684210526,short,19
1934,0.157894736842105,0.105263157894737,0.736842105263158,short,19
1935,0.157894736842105,0.0526315789473684,0.789473684210526,short,19
1936,0,0,1,short,19
1937,0,0.0526315789473684,0.947368421052632,short,19
1938,0.315789473684211,0,0.684210526315789,short,19
1939,0.526315789473684,0,0.473684210526316,short,19
1940,0.842105263157895,0,0.157894736842105,short,19
1941,0.947368421052632,0,0.0526315789473684,short,19
1942,0.894736842105263,0,0.105263157894737,short,19
1943,0.894736842105263,0,0.105263157894737,short,19
1944,1,0,0,short,19
1945,0.947368421052632,0,0.0526315789473684,short,19
1946,0.947368421052632,0,0.0526315789473684,short,19
1947,0.789473684210526,0,0.210526315789474,short,19
1948,0.736842105263158,0,0.263157894736842,short,19
1949,0.684210526315789,0,0.315789473684211,short,19
1950,0.684210526315789,0,0.315789473684211,short,19
1951,0.526315789473684,0,0.473684210526316,short,19
1952,0.473684210526316,0.0526315789473684,0.473684210526316,short,19
1953,0.473684210526316,0,0.526315789473684,short,19
1954,0.473684210526316,0,0.526315789473684,short,19
1955,0.473684210526316,0,0.526315789473684,short,19
1956,0.526315789473684,0,0.473684210526316,short,19
1957,0.578947368421053,0,0.421052631578947,short,19
1958,0.684210526315789,0,0.315789473684211,short,19
1959,0.631578947368421,0,0.368421052631579,short,19
1960,0.473684210526316,0,0.526315789473684,short,19
1961,0.210526315789474,0,0.789473684210526,short,19
1962,0.157894736842105,0,0.842105263157895,short,19
1963,0.368421052631579,0,0.631578947368421,short,19
1964,0.578947368421053,0,0.421052631578947,short,19
1965,0.473684210526316,0.0526315789473684,0.473684210526316,short,19
1966,0.421052631578947,0,0.578947368421053,short,19
1967,0.421052631578947,0.0526315789473684,0.526315789473684,short,19
1968,0.368421052631579,0,0.631578947368421,short,19
1969,0.473684210526316,0,0.526315789473684,short,19
